title,location,price,sqft,price_per_sqft
3 BHK Flat  for Sale in  Mogappair East  Chennai,Mogappair East  Chennai,26500000,1943,13638
3 BHK Flat  for Sale in  Tambaram West Tambaram  Chennai,Tambaram West Tambaram  Chennai,7930000,1334,5944
3 BHK Flat  for Sale in  Mogappair  Chennai,Mogappair  Chennai,12200000,1228,9934
3 BHK Flat  for Sale in  Royapettah  Chennai,Royapettah  Chennai,43500000,1700,25588
3 BHK Flat  for Sale in  Velachery  Chennai,Velachery  Chennai,28600000,1916,14926
3 BHK Flat  for Sale in  Medavakkam  Chennai,Medavakkam  Chennai,10600000,1486,7133
3 BHK Flat  for Sale in  Karapakkam  Chennai,Karapakkam  Chennai,13000000,1358,9572
3 BHK Flat  for Sale in  Kelambakkam  Chennai,Kelambakkam  Chennai,9440000,1370,6890
2 BHK Flat  for Sale in  Pallavaram  Chennai,Pallavaram  Chennai,10000000,1001,9990
3 BHK Flat  for Sale in  Iyyappanthangal  Chennai,Iyyappanthangal  Chennai,11900000,1330,8947
3 BHK Flat  for Sale in  Sholinganallur  Chennai,Sholinganallur  Chennai,14700000,1945,7557
3 BHK Flat  for Sale in  Padur  Chennai,Padur  Chennai,8550000,1468,5824
3 BHK Flat  for Sale in  Aminjikarai  Chennai,Aminjikarai  Chennai,80399999,1754,45838
3 BHK Flat  for Sale in  Padur  Chennai,Padur  Chennai,15500000,1950,7948
2 BHK Flat  for Sale in  Tambaram West Tambaram  Chennai,Tambaram West Tambaram  Chennai,8150000,1095,7442
3 BHK Flat  for Sale in  Sholinganallur  Chennai,Sholinganallur  Chennai,7980000,1445,5522
3 BHK Flat  for Sale in  OMR  Chennai,OMR  Chennai,12100000,1675,7223
3 BHK Flat  for Sale in  Mambakkam  Chennai,Mambakkam  Chennai,16100000,1662,9687
2 BHK Flat  for Sale in  Guindy  Chennai,Guindy  Chennai,11900000,1042,11420
2 BHK Flat  for Sale in  Thirumazhisai  Chennai,Thirumazhisai  Chennai,3529999,575,6139
3 BHK Flat  for Sale in  Madhavaram  Chennai,Madhavaram  Chennai,10800000,1304,8282
3 BHK Villa for Sale in Avadi Chennai,Avadi Chennai,12400000,1629,7612
2 BHK Villa for Sale in Avadi Chennai,Avadi Chennai,10000000,1394,7173
3 BHK Flat  for Sale in  Kelambakkam  Chennai,Kelambakkam  Chennai,6520000,1302,5007
2 BHK Flat  for Sale in  Padur  Chennai,Padur  Chennai,8009999,1361,5885
3 BHK Flat  for Sale in  Madipakkam  Chennai,Madipakkam  Chennai,10500000,945,11111
3 BHK Flat  for Sale in  Sholinganallur  Chennai,Sholinganallur  Chennai,15700000,1183,13271
2 BHK Flat  for Sale in  Siruseri  Chennai,Siruseri  Chennai,5960000,508,11732
3 BHK Flat  for Sale in  Karapakkam  Chennai,Karapakkam  Chennai,15700000,1864,8422
2 BHK Flat  for Sale in  Padur  Chennai,Padur  Chennai,7590000,952,7972
3 BHK Apartment for Sale in Mylapore Chennai,Mylapore Chennai,24600000,1496,16443
3 BHK Apartment for Sale in T Nagar Chennai,T Nagar Chennai,40800000,2174,18767
3 BHK Apartment for Sale in Anna Nagar Chennai,Anna Nagar Chennai,35400000,1534,23076
3 BHK Apartment for Sale in Madhanandapuram Chennai,Madhanandapuram Chennai,12500000,1325,9433
3 BHK Villa for Sale in East Tambaram Chennai,East Tambaram Chennai,13500000,1800,7500
2 BHK Apartment for Sale in Pallavaram Chennai,Pallavaram Chennai,11500000,805,14285
2 BHK Apartment for Sale in Chengalpattu Chennai,Chengalpattu Chennai,7959999,751,10599
3 BHK Builder Floor for Sale in Pallikaranai Chennai,Pallikaranai Chennai,11200000,1409,7948
3 BHK Apartment for Sale in Harrington Road Chennai,Harrington Road Chennai,53600000,2285,23457
3 BHK Villa for Sale in Zone 11 Padur Chennai,Zone 11 Padur Chennai,13500000,760,17763
3 BHK Apartment for Sale in Alwarpet Chennai,Alwarpet Chennai,37700000,1630,23128
3 BHK Apartment for Sale in Madhavaram Chennai,Madhavaram Chennai,10800000,1304,8282
3 BHK Apartment for Sale in Mount Road Chennai,Mount Road Chennai,70000000,1875,37333
3 BHK Apartment for Sale in Siruseri Chennai,Siruseri Chennai,7000000,775,9032
3 BHK Apartment for Sale in Sholinganallur Chennai,Sholinganallur Chennai,17500000,1850,9459
3 BHK Apartment for Sale in Ullagaram Madipakkam Chennai,Ullagaram Madipakkam Chennai,14100000,1261,11181
2 BHK Apartment for Sale in Siruseri Chennai,Siruseri Chennai,7450000,774,9625
3 BHK Villa for Sale in East Coast Road Chennai,East Coast Road Chennai,32599999,2252,14476
3 BHK Builder Floor for Sale in Sembakkam Chennai,Sembakkam Chennai,11399999,1460,7808
3 BHK Apartment for Sale in Medavakkam Chennai,Medavakkam Chennai,7690000,1098,7003
2 BHK Apartment for Sale in Ayappakkam Chennai,Ayappakkam Chennai,4700000,886,5304
3 BHK Apartment for Sale in Madhavaram Chennai,Madhavaram Chennai,7580000,1204,6295
2 BHK Apartment for Sale in OMR Chennai,OMR Chennai,6709999,808,8304
3 BHK Apartment for Sale in Porur Chennai,Porur Chennai,9700000,1382,7018
3 BHK Apartment for Sale in RA Puram Chennai,RA Puram Chennai,56200000,2500,22480
3 BHK Villa for Sale in Semmancheri Chennai,Semmancheri Chennai,14700000,1716,8566
3 BHK Apartment for Sale in T Nagar Chennai,T Nagar Chennai,41000000,1654,24788
3 BHK Apartment for Sale in Siruseri Chennai,Siruseri Chennai,7000000,900,7777
3 BHK Builder Floor for Sale in Villivakkam Chennai,Villivakkam Chennai,20600000,2016,10218
3 BHK Apartment for Sale in Mahindra World City Chennai,Mahindra World City Chennai,7150000,863,8285
2 BHK Apartment for Sale in Pallikaranai Chennai,Pallikaranai Chennai,8780000,915,9595
2 BHK Villa for Sale in Avadi Chennai,Avadi Chennai,8500000,838,10143
2 BHK Apartment for Sale in Pallikaranai Chennai,Pallikaranai Chennai,8610000,640,13453
3 BHK Apartment for Sale in Padur Chennai,Padur Chennai,12700000,1566,8109
3 BHK Apartment for Sale in Madhavaram Chennai,Madhavaram Chennai,16000000,1544,10362
3 BHK Apartment for Sale in Siruseri Chennai,Siruseri Chennai,7000000,1056,6628
2 BHK Apartment for Sale in Zone 11 Padur Chennai,Zone 11 Padur Chennai,6200000,1210,5123
2 BHK Apartment for Sale in Urapakkam Chennai,Urapakkam Chennai,3300000,706,4674
3 BHK Apartment for Sale in Karapakkam Chennai,Karapakkam Chennai,13500000,920,14673
2 BHK Villa for Sale in Irandam Kattalai Chennai,Irandam Kattalai Chennai,8700000,959,9071
3 BHK Apartment for Sale in Alwartirunagar Chennai,Alwartirunagar Chennai,9980000,1395,7154
2 BHK Villa for Sale in Madipakkam Chennai,Madipakkam Chennai,22500000,1200,18750
2 BHK Apartment for Sale in Guduvancheri Chennai,Guduvancheri Chennai,4200000,686,6122
3 BHK Apartment for Sale in 2nd Block Mogappair West Chennai,2nd Block Mogappair West Chennai,19800000,1530,12941
3 BHK Apartment for Sale in Puzhuthivakkam Chennai,Puzhuthivakkam Chennai,11500000,1208,9519
2 BHK Apartment for Sale in Guduvancheri Chennai,Guduvancheri Chennai,3800000,550,6909
2 BHK Apartment for Sale in Padur Chennai,Padur Chennai,5900000,888,6644
2 BHK  House for Sale in Thirumazhisai Chennai,Thirumazhisai Chennai,5500000,1249,4403
2 BHK  House for Sale in Virugambakkam Chennai,Virugambakkam Chennai,9500000,1200,7916
2 BHK Apartment for Sale in Kamaraj Nagar Choolaimedu Chennai,Kamaraj Nagar Choolaimedu Chennai,12500000,750,16666
2 BHK Villa for Sale in Sriperumbudur Chennai,Sriperumbudur Chennai,4500000,1200,3750
3 BHK Apartment for Sale in Mount Road Chennai,Mount Road Chennai,78000000,2730,28571
3 BHK Apartment for Sale in Nungambakkam Chennai,Nungambakkam Chennai,45000000,1650,27272
3 BHK Apartment for Sale in Sholinganallur Chennai,Sholinganallur Chennai,21800000,1726,12630
3 BHK Apartment for Sale in Adyar Chennai,Adyar Chennai,19800000,100,198000
2 BHK Builder Floor for Sale in Korattur Chennai,Korattur Chennai,6200000,453,13686
2 BHK Apartment for Sale in Pallikaranai Chennai,Pallikaranai Chennai,5400000,654,8256
2 BHK Apartment for Sale in Avadi Chennai,Avadi Chennai,3700000,477,7756
2 BHK Apartment for Sale in Mogappair West Ambattur Industrial Estate Chennai,Mogappair West Ambattur Industrial Estate Chennai,4600000,410,11219
3 BHK  House for Sale in Velachery Chennai,Velachery Chennai,32000000,2200,14545
2 BHK Apartment for Sale in Kumaran Colony Vadapalani Chennai,Kumaran Colony Vadapalani Chennai,12500000,758,16490
2 BHK Apartment for Sale in Kolapakkam Chennai,Kolapakkam Chennai,3600000,680,5294
3 BHK Apartment for Sale in Egmore Chennai,Egmore Chennai,30000000,1283,23382
3 BHK Apartment for Sale in Pallikaranai Chennai,Pallikaranai Chennai,8500000,1500,5666
3 BHK Apartment for Sale in Perumbakkam Chennai,Perumbakkam Chennai,7800000,1100,7090
2 BHK Apartment for Sale in Nanganallur Chennai,Nanganallur Chennai,8420000,796,10577
2 BHK  House for Sale in Avadi Chennai,Avadi Chennai,6800000,893,7614
3 BHK Apartment for Sale in Perambur Chennai,Perambur Chennai,13000000,1400,9285
2 BHK Apartment for Sale in Meppur Village Chennai,Meppur Village Chennai,5000000,1006,4970
3 BHK  House for Sale in Kolapakkam Chennai,Kolapakkam Chennai,14000000,2000,7000
3 BHK  House for Sale in Chepauk Chennai,Chepauk Chennai,12000000,567,21164
3 BHK Apartment for Sale in Sowcarpet Chennai,Sowcarpet Chennai,6500000,1100,5909
3 BHK Apartment for Sale in Padupakkam Chennai,Padupakkam Chennai,13000000,1140,11403
3 BHK Apartment for Sale in AGS Colony Velachery Chennai,AGS Colony Velachery Chennai,22500000,1800,12500
