title,location,price,sqft,price_per_sqft,lat,lon
3 BHK Flat  for Sale in  Mogappair East  Chennai,Mogappair East  Chennai,26500000,1943,13638,13.0835142,80.1840779
3 BHK Flat  for Sale in  Mogappair  Chennai,Mogappair  Chennai,12200000,1228,9934,13.0822583,80.1697177
3 BHK Flat  for Sale in  Royapettah  Chennai,Royapettah  Chennai,43500000,1700,25588,13.0554718,80.2639706
3 BHK Flat  for Sale in  Velachery  Chennai,Velachery  Chennai,28600000,1916,14926,13.0105862,80.2232935
3 BHK Flat  for Sale in  Medavakkam  Chennai,Medavakkam  Chennai,10600000,1486,7133,12.9743085,80.1923059
3 BHK Flat  for Sale in  Karapakkam  Chennai,Karapakkam  Chennai,13000000,1358,9572,12.9122358,80.2290329
3 BHK Flat  for Sale in  Kelambakkam  Chennai,Kelambakkam  Chennai,9440000,1370,6890,12.8429461,80.15541
2 BHK Flat  for Sale in  Pallavaram  Chennai,Pallavaram  Chennai,10000000,1001,9990,12.993374,80.1725867
3 BHK Flat  for Sale in  Sholinganallur  Chennai,Sholinganallur  Chennai,14700000,1945,7557,12.9825181,80.252674
3 BHK Flat  for Sale in  Padur  Chennai,Padur  Chennai,8550000,1468,5824,12.8036899,80.223749
3 BHK Flat  for Sale in  Aminjikarai  Chennai,Aminjikarai  Chennai,80399999,1754,45838,13.068518,80.2280904
3 BHK Flat  for Sale in  Padur  Chennai,Padur  Chennai,15500000,1950,7948,12.8036899,80.223749
3 BHK Flat  for Sale in  Sholinganallur  Chennai,Sholinganallur  Chennai,7980000,1445,5522,12.9825181,80.252674
3 BHK Flat  for Sale in  OMR  Chennai,OMR  Chennai,12100000,1675,7223,12.9877311,80.2493865
3 BHK Flat  for Sale in  Mambakkam  Chennai,Mambakkam  Chennai,16100000,1662,9687,12.8429461,80.15541
2 BHK Flat  for Sale in  Guindy  Chennai,Guindy  Chennai,11900000,1042,11420,13.0033712,80.2384104
3 BHK Flat  for Sale in  Madhavaram  Chennai,Madhavaram  Chennai,10800000,1304,8282,13.1484947,80.2078028
3 BHK Villa for Sale in Avadi Chennai,Avadi Chennai,12400000,1629,7612,13.0142534,80.1905788
2 BHK Villa for Sale in Avadi Chennai,Avadi Chennai,10000000,1394,7173,13.0142534,80.1905788
3 BHK Flat  for Sale in  Kelambakkam  Chennai,Kelambakkam  Chennai,6520000,1302,5007,12.8429461,80.15541
2 BHK Flat  for Sale in  Padur  Chennai,Padur  Chennai,8009999,1361,5885,12.8036899,80.223749
3 BHK Flat  for Sale in  Madipakkam  Chennai,Madipakkam  Chennai,10500000,945,11111,12.9535075,80.1933628
3 BHK Flat  for Sale in  Sholinganallur  Chennai,Sholinganallur  Chennai,15700000,1183,13271,12.9825181,80.252674
2 BHK Flat  for Sale in  Siruseri  Chennai,Siruseri  Chennai,5960000,508,11732,12.8358864,80.2295898
3 BHK Flat  for Sale in  Karapakkam  Chennai,Karapakkam  Chennai,15700000,1864,8422,12.9122358,80.2290329
2 BHK Flat  for Sale in  Padur  Chennai,Padur  Chennai,7590000,952,7972,12.8036899,80.223749
3 BHK Apartment for Sale in Mylapore Chennai,Mylapore Chennai,24600000,1496,16443,13.0292058,80.2668965
3 BHK Apartment for Sale in T Nagar Chennai,T Nagar Chennai,40800000,2174,18767,13.0896987,80.1877418
3 BHK Apartment for Sale in Anna Nagar Chennai,Anna Nagar Chennai,35400000,1534,23076,13.0743424,80.242421
3 BHK Villa for Sale in East Tambaram Chennai,East Tambaram Chennai,13500000,1800,7500,12.9303475,80.1324472
2 BHK Apartment for Sale in Pallavaram Chennai,Pallavaram Chennai,11500000,805,14285,12.993374,80.1725867
2 BHK Apartment for Sale in Chengalpattu Chennai,Chengalpattu Chennai,7959999,751,10599,12.8581117,80.2262771
3 BHK Builder Floor for Sale in Pallikaranai Chennai,Pallikaranai Chennai,11200000,1409,7948,12.926285,80.1978774
3 BHK Apartment for Sale in Harrington Road Chennai,Harrington Road Chennai,53600000,2285,23457,13.0693126,80.2387634
3 BHK Apartment for Sale in Alwarpet Chennai,Alwarpet Chennai,37700000,1630,23128,13.03509,80.25051
3 BHK Apartment for Sale in Madhavaram Chennai,Madhavaram Chennai,10800000,1304,8282,13.1484947,80.2078028
3 BHK Apartment for Sale in Mount Road Chennai,Mount Road Chennai,70000000,1875,37333,13.0317764,80.2432715
3 BHK Apartment for Sale in Siruseri Chennai,Siruseri Chennai,7000000,775,9032,12.8358864,80.2295898
3 BHK Apartment for Sale in Sholinganallur Chennai,Sholinganallur Chennai,17500000,1850,9459,12.9825181,80.252674
2 BHK Apartment for Sale in Siruseri Chennai,Siruseri Chennai,7450000,774,9625,12.8358864,80.2295898
3 BHK Villa for Sale in East Coast Road Chennai,East Coast Road Chennai,32599999,2252,14476,12.8636768,80.2424078
3 BHK Builder Floor for Sale in Sembakkam Chennai,Sembakkam Chennai,11399999,1460,7808,12.9040038,80.1871795
3 BHK Apartment for Sale in Medavakkam Chennai,Medavakkam Chennai,7690000,1098,7003,12.9743085,80.1923059
3 BHK Apartment for Sale in Madhavaram Chennai,Madhavaram Chennai,7580000,1204,6295,13.1484947,80.2078028
2 BHK Apartment for Sale in OMR Chennai,OMR Chennai,6709999,808,8304,12.9877311,80.2493865
3 BHK Apartment for Sale in Porur Chennai,Porur Chennai,9700000,1382,7018,13.0320131,80.158304
3 BHK Apartment for Sale in RA Puram Chennai,RA Puram Chennai,56200000,2500,22480,13.0268492,80.2558082
3 BHK Villa for Sale in Semmancheri Chennai,Semmancheri Chennai,14700000,1716,8566,12.8751861,80.2106332
3 BHK Apartment for Sale in T Nagar Chennai,T Nagar Chennai,41000000,1654,24788,13.0896987,80.1877418
3 BHK Apartment for Sale in Siruseri Chennai,Siruseri Chennai,7000000,900,7777,12.8358864,80.2295898
3 BHK Builder Floor for Sale in Villivakkam Chennai,Villivakkam Chennai,20600000,2016,10218,13.1125875,80.2081378
2 BHK Apartment for Sale in Pallikaranai Chennai,Pallikaranai Chennai,8780000,915,9595,12.926285,80.1978774
2 BHK Villa for Sale in Avadi Chennai,Avadi Chennai,8500000,838,10143,13.0142534,80.1905788
2 BHK Apartment for Sale in Pallikaranai Chennai,Pallikaranai Chennai,8610000,640,13453,12.926285,80.1978774
3 BHK Apartment for Sale in Padur Chennai,Padur Chennai,12700000,1566,8109,12.8036899,80.223749
3 BHK Apartment for Sale in Madhavaram Chennai,Madhavaram Chennai,16000000,1544,10362,13.1484947,80.2078028
3 BHK Apartment for Sale in Siruseri Chennai,Siruseri Chennai,7000000,1056,6628,12.8358864,80.2295898
3 BHK Apartment for Sale in Karapakkam Chennai,Karapakkam Chennai,13500000,920,14673,12.9122358,80.2290329
2 BHK Villa for Sale in Madipakkam Chennai,Madipakkam Chennai,22500000,1200,18750,12.9535075,80.1933628
2 BHK Apartment for Sale in Guduvancheri Chennai,Guduvancheri Chennai,4200000,686,6122,12.8439997,80.0603546
3 BHK Apartment for Sale in 2nd Block Mogappair West Chennai,2nd Block Mogappair West Chennai,19800000,1530,12941,13.0880622,80.1846054
3 BHK Apartment for Sale in Puzhuthivakkam Chennai,Puzhuthivakkam Chennai,11500000,1208,9519,12.9691428,80.2062626
2 BHK Apartment for Sale in Guduvancheri Chennai,Guduvancheri Chennai,3800000,550,6909,12.8439997,80.0603546
